rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
1,032190,다우데이타(Bought),2020-05-11,12450.0,12914.0,3.73,80.0
3,031860,엔에스엔(Bought),2020-05-11,2240.0,2368.0,5.74,446.0
25,033540,파라텍,2020-05-11,5210.0,5372.0,3.12,192.0
39,026890,디피씨,2020-05-11,10350.0,10730.0,3.68,97.0
54,002140,고려산업,2020-05-11,3455.0,3772.0,9.19,289.0
85,038620,위즈코프,2020-05-11,1095.0,1199.0,9.56,913.0
88,006980,우성사료,2020-05-11,3155.0,3246.0,2.9,317.0
98,010100,한국프랜지공업,2020-05-11,2200.0,2374.0,7.91,455.0
117,007280,한국특수형강,2020-05-11,1450.0,1697.0,17.04,690.0
167,019490,하이트론씨스템즈,2020-05-11,3255.0,5506.0,69.17,307.0
173,036630,세종텔레콤,2020-05-11,345.0,357.0,3.65,2899.0
194,033100,제룡전기,2020-05-11,5800.0,5985.0,3.2,172.0
216,011170,롯데케미칼,2020-05-11,187000.0,197279.0,5.5,5.0
244,011780,금호석유화학,2020-05-11,71100.0,75092.0,5.62,14.0
246,004100,태양금속공업,2020-05-11,1195.0,1257.0,5.23,837.0
247,006840,AK홀딩스,2020-05-11,24700.0,26053.0,5.48,40.0
252,002290,삼일기업공사,2020-05-11,2805.0,2897.0,3.29,357.0
275,002360,SH에너지화학,2020-05-11,914.0,946.0,3.55,1094.0
279,014130,한익스프레스,2020-05-11,4840.0,5366.0,10.88,207.0
,,SELL,,,,,
91,003090,대웅,2020-05-11,16400.0,9546.0,-41.79,61.0
138,001440,대한전선,2020-05-11,802.0,482.0,-39.9,1247.0
146,002820,선창산업,2020-05-11,4250.0,2915.0,-31.39,235.0
274,005720,넥센,2020-05-11,4720.0,3107.0,-34.15,212.0
,,PREDICT,,,,,
1,032190,다우데이타(Bought),2020-05-11,12450.0,12914.0,3.73,80.0
2,026150,특수건설(Bought),2020-05-11,7650.0,7084.0,-7.39,131.0
3,031860,엔에스엔(Bought),2020-05-11,2240.0,2368.0,5.74,446.0
4,007860,서연(Bought),2020-05-11,3615.0,3658.0,1.2,277.0
5,035620,바른손이앤에이,2020-05-11,2310.0,2287.0,-0.98,433.0
6,012690,모나리자,2020-05-11,7720.0,7468.0,-3.25,130.0
7,021050,서원,2020-05-11,2890.0,2940.0,1.76,346.0
8,017650,대림제지,2020-05-11,1890.0,1712.0,-9.41,529.0
