rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
3,019490,하이트론씨스템즈(Bought),2020-05-15,3045.0,3569.0,17.22,328.0
4,004990,롯데지주(Bought New),2020-05-15,36250.0,72230.0,99.26,28.0
,,SELL,,,,,
64,002620,제일파마홀딩스,2020-05-15,22750.0,11411.0,-49.84,44.0
110,038880,아이에이,2020-05-15,446.0,243.0,-45.34,2242.0
,,PREDICT,,,,,
1,003060,에이프로젠제약(Bought),2020-05-15,2215.0,2091.0,-5.59,451.0
2,025820,이구산업(Bought),2020-05-15,1390.0,1496.0,7.69,719.0
3,019490,하이트론씨스템즈(Bought),2020-05-15,3045.0,3569.0,17.22,328.0
4,004990,롯데지주(Bought New),2020-05-15,36250.0,72230.0,99.26,28.0
5,031860,엔에스엔(Bought),2020-05-15,2135.0,2240.0,4.92,468.0
6,007860,서연(Bought),2020-05-15,3560.0,3642.0,2.33,281.0
7,026890,디피씨,2020-05-15,9830.0,9563.0,-2.71,102.0
8,001200,유진증권,2020-05-15,2895.0,2986.0,3.15,345.0
9,032680,소프트센,2020-05-15,2620.0,2435.0,-7.06,382.0
10,002140,고려산업,2020-05-15,3450.0,3442.0,-0.23,290.0
11,003090,대웅,2020-05-15,17300.0,17730.0,2.49,58.0
12,002020,코오롱,2020-05-15,17550.0,17911.0,2.06,57.0
13,013810,스페코,2020-05-15,3500.0,3491.0,-0.25,286.0
14,007460,에이프로젠 KIC,2020-05-15,3250.0,3196.0,-1.65,308.0
15,012600,청호컴넷,2020-05-15,3000.0,3176.0,5.89,333.0
16,033230,인성정보,2020-05-15,5560.0,5429.0,-2.35,180.0
17,000910,유니온,2020-05-15,5570.0,5176.0,-7.07,180.0
18,006920,모헨즈,2020-05-15,4250.0,4229.0,-0.49,235.0
19,004140,동방,2020-05-15,2250.0,2308.0,2.58,444.0
20,036580,팜스코,2020-05-15,6000.0,5280.0,-11.98,167.0
21,001120,LG상사,2020-05-15,13300.0,13060.0,-1.8,75.0
22,035080,인터파크홀딩스,2020-05-15,1890.0,1893.0,0.17,529.0
23,017510,세명전기,2020-05-15,4245.0,4277.0,0.77,236.0
24,006650,대한유화,2020-05-15,131000.0,127740.0,-2.49,8.0
25,016250,이테크건설,2020-05-15,84400.0,85291.0,1.06,12.0
26,000990,DB하이텍,2020-05-15,28600.0,27850.0,-2.62,35.0
27,000370,한화손해보험,2020-05-15,2670.0,2813.0,5.38,375.0
28,004920,씨아이테크,2020-05-15,1105.0,1012.0,-8.38,905.0
29,008250,이건산업,2020-05-15,5770.0,5578.0,-3.33,173.0
30,005950,이수화학,2020-05-15,12050.0,12128.0,0.65,83.0
31,002230,피에스텍,2020-05-15,3640.0,3639.0,-0.02,275.0
32,002210,동성제약,2020-05-15,13550.0,13228.0,-2.37,74.0
33,020120,키다리스튜디오,2020-05-15,7060.0,6894.0,-2.34,142.0
34,036710,심텍홀딩스,2020-05-15,1560.0,1436.0,-7.89,641.0
35,023900,풍국주정,2020-05-15,19450.0,18419.0,-5.3,51.0
36,023960,에쓰씨엔지니어링,2020-05-15,1270.0,1266.0,-0.31,787.0
37,016600,큐캐피탈,2020-05-15,721.0,700.0,-2.89,1387.0
38,010770,평화홀딩스,2020-05-15,3185.0,3196.0,0.38,314.0
39,015860,일진홀딩스,2020-05-15,3815.0,3831.0,0.44,262.0
40,011150,CJ씨푸드,2020-05-15,4115.0,3907.0,-5.04,243.0
41,031510,오스템,2020-05-15,1740.0,1750.0,0.62,575.0
42,011390,부산산업,2020-05-15,139000.0,141313.0,1.66,7.0
43,001060,JW중외제약,2020-05-15,34950.0,30738.0,-12.05,29.0
44,027710,팜스토리,2020-05-15,1110.0,1111.0,0.17,901.0
45,005860,한일사료,2020-05-15,1735.0,1739.0,0.28,576.0
46,002300,한국제지,2020-05-15,17900.0,16646.0,-7.0,56.0
