rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
11,032850,비트컴퓨터,2020-05-07,9040.0,9476.0,4.83,111.0
29,001880,삼호,2020-05-07,21400.0,21946.0,2.56,47.0
46,033230,인성정보,2020-05-07,4445.0,4648.0,4.58,225.0
69,007390,네이처셀,2020-05-07,10950.0,11204.0,2.33,91.0
85,006650,대한유화,2020-05-07,130000.0,134890.0,3.76,8.0
94,010100,한국프랜지공업,2020-05-07,2285.0,2459.0,7.64,438.0
107,007110,일신석재,2020-05-07,2670.0,3130.0,17.27,375.0
181,014990,인디에프,2020-05-07,2160.0,2271.0,5.18,463.0
186,036630,세종텔레콤,2020-05-07,336.0,405.0,20.72,2976.0
270,035150,백산,2020-05-07,5980.0,6121.0,2.36,167.0
,,SELL,,,,,
14,003060,에이프로젠제약,2020-05-07,2195.0,1130.0,-48.49,456.0
91,003090,대웅,2020-05-07,16450.0,5458.0,-66.82,61.0
149,002820,선창산업,2020-05-07,4225.0,2731.0,-35.36,237.0
,,PREDICT,,,,,
1,031860,엔에스엔(Bought),2020-05-07,2425.0,2388.0,-1.51,412.0
2,007860,서연(Bought),2020-05-07,3800.0,3718.0,-2.14,263.0
3,035620,바른손이앤에이,2020-05-07,2405.0,2362.0,-1.76,416.0
4,012690,모나리자,2020-05-07,7390.0,7040.0,-4.73,135.0
5,021050,서원,2020-05-07,2980.0,2797.0,-6.12,336.0
6,017650,대림제지,2020-05-07,1720.0,1641.0,-4.54,581.0
7,014530,극동유화,2020-05-07,3225.0,2911.0,-9.72,310.0
8,016600,큐캐피탈,2020-05-07,750.0,711.0,-5.11,1333.0
9,012860,모베이스전자,2020-05-07,1395.0,1114.0,-20.09,717.0
10,006050,국영지앤엠,2020-05-07,2690.0,2627.0,-2.33,372.0
11,032850,비트컴퓨터,2020-05-07,9040.0,9476.0,4.83,111.0
12,012600,청호컴넷,2020-05-07,2590.0,2422.0,-6.46,386.0
13,031310,아이즈비전,2020-05-07,3995.0,3936.0,-1.46,250.0
14,003060,에이프로젠제약,2020-05-07,2195.0,1130.0,-48.49,456.0
15,010660,화천기계,2020-05-07,3320.0,3296.0,-0.7,301.0
16,033540,파라텍,2020-05-07,5600.0,5344.0,-4.57,179.0
17,001200,유진증권,2020-05-07,3135.0,3054.0,-2.58,319.0
18,005950,이수화학,2020-05-07,11950.0,11605.0,-2.88,84.0
19,004140,동방,2020-05-07,2300.0,2280.0,-0.83,435.0
20,008600,윌비스,2020-05-07,1545.0,1428.0,-7.51,647.0
21,036120,SCI평가정보,2020-05-07,2955.0,2874.0,-2.71,338.0
22,002720,국제약품,2020-05-07,7100.0,7245.0,2.05,141.0
