rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
6,004140,동방,2020-05-18,2335.0,2896.0,24.05,428.0
,,SELL,,,,,
123,038880,아이에이,2020-05-18,437.0,243.0,-44.34,2288.0
131,002620,제일파마홀딩스,2020-05-18,21950.0,11134.0,-49.27,46.0
165,005720,넥센,2020-05-18,4310.0,3122.0,-27.55,232.0
191,003080,성보화학,2020-05-18,4255.0,3103.0,-27.07,235.0
255,000910,유니온,2020-05-18,6470.0,4489.0,-30.6,155.0
,,PREDICT,,,,,
1,003060,에이프로젠제약(Bought),2020-05-18,2195.0,2020.0,-7.95,456.0
2,025820,이구산업(Bought),2020-05-18,1395.0,1462.0,4.82,717.0
3,019490,하이트론씨스템즈(Bought New),2020-05-18,2935.0,2715.0,-7.47,341.0
4,031860,엔에스엔(Bought New),2020-05-18,2150.0,2235.0,3.97,465.0
5,007860,서연(Bought New),2020-05-18,3465.0,3620.0,4.49,289.0
6,004140,동방,2020-05-18,2335.0,2896.0,24.05,428.0
7,012600,청호컴넷,2020-05-18,2855.0,2897.0,1.49,350.0
8,012690,모나리자,2020-05-18,7150.0,7491.0,4.78,140.0
9,016600,큐캐피탈,2020-05-18,716.0,699.0,-2.28,1397.0
10,005250,녹십자홀딩스,2020-05-18,23800.0,24973.0,4.93,42.0
11,017650,대림제지,2020-05-18,1705.0,1692.0,-0.72,587.0
12,009810,엔케이물산,2020-05-18,682.0,678.0,-0.56,1466.0
13,013810,스페코,2020-05-18,3520.0,3522.0,0.08,284.0
14,011370,서한,2020-05-18,975.0,999.0,2.49,1026.0
15,004920,씨아이테크,2020-05-18,1090.0,1012.0,-7.13,917.0
16,001520,동양,2020-05-18,1665.0,1450.0,-12.91,601.0
17,010600,웰바이오텍,2020-05-18,2605.0,2293.0,-11.96,384.0
18,032800,판타지오,2020-05-18,920.0,875.0,-4.87,1087.0
19,026890,디피씨,2020-05-18,10050.0,9870.0,-1.78,100.0
20,027040,서울전자통신,2020-05-18,827.0,834.0,0.93,1209.0
21,019180,티에이치엔,2020-05-18,2355.0,2447.0,3.94,425.0
22,006910,보성파워텍,2020-05-18,1695.0,1690.0,-0.29,590.0
23,019550,SBI인베스트먼트,2020-05-18,613.0,609.0,-0.56,1631.0
24,027710,팜스토리,2020-05-18,1110.0,1110.0,0.07,901.0
25,001200,유진증권,2020-05-18,2925.0,2944.0,0.66,342.0
26,003720,삼영화학공업,2020-05-18,1240.0,1185.0,-4.39,806.0
27,019210,와이지-원,2020-05-18,4685.0,4609.0,-1.62,213.0
28,006050,국영지앤엠,2020-05-18,2570.0,2544.0,-1.0,389.0
29,017040,광명전기,2020-05-18,2005.0,2002.0,-0.11,499.0
30,017900,광전자,2020-05-18,1900.0,1922.0,1.18,526.0
31,024840,KBI메탈,2020-05-18,1245.0,1226.0,-1.49,803.0
32,003560,아이에이치큐,2020-05-18,1590.0,1581.0,-0.55,629.0
33,036090,위지트,2020-05-18,615.0,582.0,-5.29,1626.0
34,010050,우리종금,2020-05-18,562.0,565.0,0.7,1779.0
35,023800,인지컨트롤스,2020-05-18,3770.0,3772.0,0.06,265.0
36,023960,에쓰씨엔지니어링,2020-05-18,1350.0,1305.0,-3.33,741.0
37,015020,이스타코,2020-05-18,653.0,630.0,-3.49,1531.0
38,012630,HDC,2020-05-18,9440.0,9367.0,-0.77,106.0
39,016610,DB금융투자,2020-05-18,3250.0,3286.0,1.13,308.0
40,017250,인터엠,2020-05-18,1775.0,1808.0,1.88,563.0
41,016450,한세예스24홀딩스,2020-05-18,4860.0,4945.0,1.76,206.0
42,036580,팜스코,2020-05-18,6180.0,5423.0,-12.24,162.0
43,013700,까뮤이앤씨,2020-05-18,1300.0,1328.0,2.19,769.0
44,011420,갤럭시아에스엠,2020-05-18,1370.0,1230.0,-10.2,730.0
45,018700,바른손,2020-05-18,3200.0,3171.0,-0.89,312.0
46,021040,대호피앤씨,2020-05-18,752.0,732.0,-2.61,1330.0
47,035150,백산,2020-05-18,5860.0,5765.0,-1.61,171.0
48,037760,쎄니트,2020-05-18,1750.0,1769.0,1.1,571.0
49,002230,피에스텍,2020-05-18,3800.0,3735.0,-1.69,263.0
50,011150,CJ씨푸드,2020-05-18,4270.0,4009.0,-6.1,234.0
51,032980,바이온,2020-05-18,1270.0,1303.0,2.65,787.0
52,032680,소프트센,2020-05-18,2585.0,2547.0,-1.43,387.0
