rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
53,010170,대한광통신,2020-05-21,3700.0,8586.0,132.08,270.0
102,034940,조아제약,2020-05-21,5300.0,8269.0,56.03,189.0
,,SELL,,,,,
,,PREDICT,,,,,
1,005440,현대그린푸드(Bought),2020-05-21,8750.0,8806.0,0.65,114.0
3,003060,에이프로젠제약(Bought),2020-05-21,2090.0,2053.0,-1.72,478.0
4,025820,이구산업(Bought),2020-05-21,1455.0,1349.0,-7.28,687.0
5,031860,엔에스엔(Bought),2020-05-21,2315.0,2407.0,3.98,432.0
6,035620,바른손이앤에이,2020-05-21,2380.0,2339.0,-1.72,420.0
7,013810,스페코,2020-05-21,3640.0,3638.0,-0.04,275.0
8,026890,디피씨,2020-05-21,10400.0,10213.0,-1.8,96.0
9,001200,유진증권,2020-05-21,3120.0,3133.0,0.42,321.0
10,032680,소프트센,2020-05-21,2500.0,2460.0,-1.59,400.0
11,002140,고려산업,2020-05-21,3665.0,3568.0,-2.62,273.0
12,032850,비트컴퓨터,2020-05-21,12200.0,12206.0,0.05,82.0
13,036120,SCI평가정보,2020-05-21,3420.0,3376.0,-1.27,292.0
14,032620,유비케어,2020-05-21,10800.0,10335.0,-4.3,93.0
15,016380,KG동부제철,2020-05-21,12500.0,12466.0,-0.27,80.0
16,037070,파세코,2020-05-21,16550.0,15360.0,-7.19,60.0
17,002020,코오롱,2020-05-21,18050.0,18360.0,1.72,55.0
18,005320,국동,2020-05-21,3240.0,3417.0,5.48,309.0
19,004920,씨아이테크,2020-05-21,1160.0,1018.0,-12.19,862.0
20,001020,페이퍼코리아,2020-05-21,1400.0,1357.0,-3.04,714.0
21,032190,다우데이타,2020-05-21,13850.0,14388.0,3.89,72.0
22,036580,팜스코,2020-05-21,7200.0,5988.0,-16.82,139.0
23,002620,제일파마홀딩스,2020-05-21,19800.0,17308.0,-12.58,51.0
24,036810,에프에스티,2020-05-21,11700.0,10023.0,-14.33,85.0
25,003090,대웅,2020-05-21,17550.0,17473.0,-0.44,57.0
26,016250,이테크건설,2020-05-21,100900.0,94259.0,-6.58,10.0
27,009190,대양금속,2020-05-21,5330.0,3546.0,-33.45,188.0
28,023900,풍국주정,2020-05-21,21950.0,21113.0,-3.81,46.0
29,000910,유니온,2020-05-21,6400.0,4744.0,-25.87,156.0
30,007460,에이프로젠 KIC,2020-05-21,3285.0,3106.0,-5.45,304.0
31,000370,한화손해보험,2020-05-21,2495.0,2422.0,-2.92,401.0
32,025320,시노펙스,2020-05-21,2925.0,2883.0,-1.41,342.0
33,033230,인성정보,2020-05-21,5040.0,4752.0,-5.71,198.0
34,007860,서연,2020-05-21,3615.0,3587.0,-0.77,277.0
35,001550,조비,2020-05-21,16350.0,16295.0,-0.33,61.0
36,023960,에쓰씨엔지니어링,2020-05-21,1340.0,1345.0,0.45,746.0
37,002700,신일전자,2020-05-21,2320.0,2272.0,-2.04,431.0
38,001120,LG상사,2020-05-21,14100.0,13739.0,-2.56,71.0
39,006920,모헨즈,2020-05-21,4310.0,4322.0,0.29,232.0
40,012600,청호컴넷,2020-05-21,3010.0,2601.0,-13.56,332.0
41,008250,이건산업,2020-05-21,6420.0,6769.0,5.45,156.0
42,029460,케이씨,2020-05-21,19800.0,19913.0,0.57,51.0
43,007110,일신석재,2020-05-21,2475.0,2104.0,-14.98,404.0
44,010100,한국프랜지공업,2020-05-21,2610.0,2788.0,6.84,383.0
45,015860,일진홀딩스,2020-05-21,4075.0,4055.0,-0.47,245.0
46,004430,송원산업,2020-05-21,15300.0,14954.0,-2.26,65.0
47,035080,인터파크홀딩스,2020-05-21,1955.0,1861.0,-4.77,512.0
48,005750,대림비앤코,2020-05-21,4230.0,3897.0,-7.85,236.0
49,011790,SKC,2020-05-21,54400.0,53216.0,-2.18,18.0
50,017510,세명전기,2020-05-21,4390.0,4338.0,-1.16,228.0
51,025900,동화기업,2020-05-21,25200.0,22620.0,-10.24,40.0
52,020120,키다리스튜디오,2020-05-21,6630.0,6611.0,-0.28,151.0
53,010170,대한광통신,2020-05-21,3700.0,8586.0,132.08,270.0
54,005390,신성통상,2020-05-21,1230.0,1021.0,-16.95,813.0
55,018700,바른손,2020-05-21,3450.0,3347.0,-2.97,290.0
56,011320,유니크,2020-05-21,7050.0,7751.0,9.95,142.0
57,027710,팜스토리,2020-05-21,1135.0,1127.0,-0.62,881.0
58,000990,DB하이텍,2020-05-21,28100.0,27524.0,-2.05,36.0
59,004540,깨끗한나라,2020-05-21,4190.0,4010.0,-4.28,239.0
60,039610,화성밸브,2020-05-21,5830.0,5761.0,-1.17,172.0
61,005860,한일사료,2020-05-21,1790.0,1799.0,0.52,559.0
62,006840,AK홀딩스,2020-05-21,24250.0,24695.0,1.84,41.0
63,033320,제이씨현시스템,2020-05-21,4685.0,4375.0,-6.6,213.0
64,033500,동성화인텍,2020-05-21,8620.0,8638.0,0.22,116.0
65,012510,더존비즈온,2020-05-21,101500.0,100029.0,-1.45,10.0
66,006400,삼성SDI,2020-05-21,335000.0,320949.0,-4.19,3.0
67,017960,한국카본,2020-05-21,7710.0,7647.0,-0.81,130.0
68,031510,오스템,2020-05-21,1790.0,1791.0,0.09,559.0
69,019660,글로본,2020-05-21,2615.0,2635.0,0.79,382.0
70,006650,대한유화,2020-05-21,132000.0,133280.0,0.97,8.0
71,032800,판타지오,2020-05-21,989.0,966.0,-2.32,1011.0
72,004710,한솔테크닉스,2020-05-21,7880.0,7030.0,-10.78,127.0
73,009290,광동제약,2020-05-21,7080.0,6831.0,-3.51,141.0
74,001060,JW중외제약,2020-05-21,34750.0,29772.0,-14.32,29.0
75,000020,동화약품,2020-05-21,9710.0,9647.0,-0.65,103.0
76,007210,벽산,2020-05-21,1695.0,1659.0,-2.11,590.0
77,010660,화천기계,2020-05-21,3690.0,3335.0,-9.61,271.0
78,010770,평화홀딩스,2020-05-21,3350.0,3272.0,-2.32,299.0
79,037460,삼지전자,2020-05-21,10450.0,9834.0,-5.89,96.0
80,002210,동성제약,2020-05-21,13500.0,13380.0,-0.89,74.0
81,005830,DB손해보험,2020-05-21,45950.0,46506.0,1.21,22.0
82,002300,한국제지,2020-05-21,17750.0,17860.0,0.62,56.0
83,027830,대성창투,2020-05-21,1935.0,1953.0,0.95,517.0
84,026150,특수건설,2020-05-21,7280.0,7256.0,-0.32,137.0
85,014970,삼륭물산,2020-05-21,7630.0,7681.0,0.67,131.0
86,006390,한일현대시멘트,2020-05-21,29800.0,30004.0,0.68,34.0
87,001210,금호전기,2020-05-21,3405.0,3419.0,0.41,294.0
88,006570,대림통상,2020-05-21,4200.0,4201.0,0.03,238.0
89,011760,현대종합상사,2020-05-21,14650.0,14770.0,0.82,68.0
90,017800,현대엘리베이터,2020-05-21,63400.0,63335.0,-0.1,16.0
91,007810,코리아써키트,2020-05-21,9910.0,9794.0,-1.17,101.0
92,038680,에스넷,2020-05-21,7110.0,6918.0,-2.69,141.0
93,001500,현대차증권,2020-05-21,8820.0,8841.0,0.25,113.0
94,013030,하이록코리아,2020-05-21,12850.0,12844.0,-0.05,78.0
95,038880,아이에이,2020-05-21,474.0,355.0,-25.05,2110.0
96,024880,케이피에프,2020-05-21,3710.0,3666.0,-1.18,270.0
97,003160,디아이,2020-05-21,3665.0,3483.0,-4.94,273.0
98,018000,유니슨,2020-05-21,1350.0,1376.0,1.93,741.0
99,025550,한국선재,2020-05-21,2765.0,2775.0,0.38,362.0
100,001520,동양,2020-05-21,1565.0,1361.0,-12.97,639.0
101,003470,유안타증권,2020-05-21,2765.0,2698.0,-2.39,362.0
102,034940,조아제약,2020-05-21,5300.0,8269.0,56.03,189.0
103,000140,하이트진로홀딩스,2020-05-21,16350.0,16210.0,-0.85,61.0
