rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
17,010660,화천기계,2020-05-08,3995.0,4498.0,12.59,250.0
18,033540,파라텍,2020-05-08,5130.0,5450.0,6.24,195.0
37,026890,디피씨,2020-05-08,10250.0,10590.0,3.32,98.0
38,032190,다우데이타,2020-05-08,11700.0,12359.0,5.64,85.0
78,038620,위즈코프,2020-05-08,1120.0,1215.0,8.53,893.0
91,026150,특수건설,2020-05-08,8120.0,9114.0,12.25,123.0
92,006650,대한유화,2020-05-08,128500.0,132906.0,3.43,8.0
99,010100,한국프랜지공업,2020-05-08,2365.0,2466.0,4.31,423.0
114,007280,한국특수형강,2020-05-08,1480.0,1707.0,15.35,676.0
189,023590,다우기술,2020-05-08,18400.0,20094.0,9.21,54.0
216,011170,롯데케미칼,2020-05-08,195500.0,201513.0,3.08,5.0
228,011780,금호석유화학,2020-05-08,72100.0,74050.0,2.7,14.0
,,SELL,,,,,
90,003090,대웅,2020-05-08,16950.0,8871.0,-47.66,59.0
146,002820,선창산업,2020-05-08,4315.0,2833.0,-34.34,232.0
240,001440,대한전선,2020-05-08,793.0,529.0,-33.22,1261.0
256,005720,넥센,2020-05-08,4740.0,2469.0,-47.91,211.0
,,PREDICT,,,,,
2,031860,엔에스엔(Bought),2020-05-08,2475.0,2406.0,-2.78,404.0
3,007860,서연(Bought),2020-05-08,3800.0,3694.0,-2.77,263.0
4,035620,바른손이앤에이,2020-05-08,2385.0,2337.0,-1.97,419.0
5,012690,모나리자,2020-05-08,7560.0,7201.0,-4.74,132.0
6,021050,서원,2020-05-08,3025.0,3047.0,0.76,331.0
7,017650,대림제지,2020-05-08,1750.0,1654.0,-5.48,571.0
8,014530,극동유화,2020-05-08,3210.0,2927.0,-8.81,312.0
9,016600,큐캐피탈,2020-05-08,754.0,712.0,-5.47,1326.0
10,006050,국영지앤엠,2020-05-08,2640.0,2574.0,-2.46,379.0
11,032850,비트컴퓨터,2020-05-08,9880.0,9322.0,-5.64,101.0
