rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
82,004990,롯데지주,2020-05-13,37500.0,67036.0,78.76,27.0
147,019490,하이트론씨스템즈,2020-05-13,3055.0,4140.0,35.54,327.0
,,SELL,,,,,
,,PREDICT,,,,,
1,032190,다우데이타(Bought New),2020-05-13,13050.0,12070.0,-7.5,77.0
2,031860,엔에스엔(Bought),2020-05-13,2130.0,2221.0,4.31,469.0
3,007860,서연(Bought),2020-05-13,3605.0,3593.0,-0.32,277.0
4,013810,스페코,2020-05-13,3450.0,3424.0,-0.75,290.0
5,026890,디피씨,2020-05-13,10200.0,10079.0,-1.18,98.0
6,001200,유진증권,2020-05-13,3140.0,3007.0,-4.22,318.0
7,032680,소프트센,2020-05-13,2630.0,2679.0,1.89,380.0
8,002140,고려산업,2020-05-13,3395.0,3435.0,1.19,295.0
9,003090,대웅,2020-05-13,17600.0,17351.0,-1.41,57.0
10,002020,코오롱,2020-05-13,18250.0,18088.0,-0.88,55.0
11,007460,에이프로젠 KIC,2020-05-13,3460.0,3468.0,0.26,289.0
12,004920,씨아이테크,2020-05-13,1090.0,1000.0,-8.22,917.0
13,001840,이화공영,2020-05-13,5490.0,5269.0,-4.02,182.0
14,033230,인성정보,2020-05-13,5200.0,4855.0,-6.62,192.0
15,004840,DRB동일,2020-05-13,6440.0,6802.0,5.63,155.0
16,006920,모헨즈,2020-05-13,4270.0,4230.0,-0.91,234.0
17,000910,유니온,2020-05-13,4695.0,4975.0,5.97,213.0
18,017510,세명전기,2020-05-13,4475.0,4444.0,-0.69,223.0
19,005320,국동,2020-05-13,3840.0,3082.0,-19.74,260.0
20,001120,LG상사,2020-05-13,13250.0,12779.0,-3.55,75.0
21,035080,인터파크홀딩스,2020-05-13,1975.0,1936.0,-1.93,506.0
22,016250,이테크건설,2020-05-13,86500.0,85825.0,-0.78,12.0
23,012600,청호컴넷,2020-05-13,3000.0,3189.0,6.31,333.0
24,002210,동성제약,2020-05-13,13650.0,13420.0,-1.68,73.0
25,008250,이건산업,2020-05-13,5800.0,5548.0,-4.34,172.0
26,000990,DB하이텍,2020-05-13,27550.0,26862.0,-2.5,36.0
27,023960,에쓰씨엔지니어링,2020-05-13,1285.0,1279.0,-0.4,778.0
28,002230,피에스텍,2020-05-13,3700.0,3660.0,-1.06,270.0
29,005950,이수화학,2020-05-13,11850.0,11693.0,-1.32,84.0
30,036580,팜스코,2020-05-13,6100.0,5024.0,-17.64,164.0
31,036710,심텍홀딩스,2020-05-13,1575.0,1395.0,-11.4,635.0
32,011390,부산산업,2020-05-13,144500.0,145423.0,0.64,7.0
33,017800,현대엘리베이터,2020-05-13,62400.0,62275.0,-0.2,16.0
34,006650,대한유화,2020-05-13,129000.0,127320.0,-1.3,8.0
35,031510,오스템,2020-05-13,1720.0,1730.0,0.61,581.0
36,015860,일진홀딩스,2020-05-13,3835.0,3836.0,0.04,261.0
37,006390,한일현대시멘트,2020-05-13,30650.0,30871.0,0.72,33.0
38,020120,키다리스튜디오,2020-05-13,6970.0,6831.0,-1.99,143.0
39,005860,한일사료,2020-05-13,1725.0,1726.0,0.08,580.0
40,010770,평화홀딩스,2020-05-13,3325.0,3241.0,-2.5,301.0
41,011150,CJ씨푸드,2020-05-13,4110.0,3786.0,-7.88,243.0
42,010100,한국프랜지공업,2020-05-13,2205.0,2182.0,-1.04,454.0
43,006840,AK홀딩스,2020-05-13,24000.0,24148.0,0.62,42.0
44,027710,팜스토리,2020-05-13,1070.0,1058.0,-1.05,935.0
45,025320,시노펙스,2020-05-13,2935.0,2837.0,-3.32,341.0
46,037760,쎄니트,2020-05-13,1725.0,1764.0,2.27,580.0
47,031980,피에스케이홀딩스,2020-05-13,7800.0,7678.0,-1.56,128.0
48,019660,글로본,2020-05-13,2570.0,2587.0,0.68,389.0
49,018310,삼목에스폼,2020-05-13,7110.0,6832.0,-3.91,141.0
50,011370,서한,2020-05-13,992.0,1021.0,2.98,1008.0
51,003060,에이프로젠제약,2020-05-13,2185.0,2379.0,8.91,458.0
52,036090,위지트,2020-05-13,641.0,596.0,-6.95,1560.0
53,002300,한국제지,2020-05-13,17250.0,14456.0,-16.2,58.0
54,030720,동원수산,2020-05-13,8940.0,8763.0,-1.98,112.0
55,034810,해성산업,2020-05-13,11500.0,10157.0,-11.67,87.0
56,003560,아이에이치큐,2020-05-13,1660.0,1561.0,-5.93,602.0
57,024840,KBI메탈,2020-05-13,1305.0,1270.0,-2.67,766.0
58,023900,풍국주정,2020-05-13,19400.0,18301.0,-5.66,52.0
59,007210,벽산,2020-05-13,1615.0,1573.0,-2.59,619.0
60,000370,한화손해보험,2020-05-13,2570.0,2332.0,-9.25,389.0
61,012200,계양전기,2020-05-13,2850.0,2754.0,-3.36,351.0
62,011560,세보엠이씨,2020-05-13,5280.0,5215.0,-1.23,189.0
