rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
44,010100,한국프랜지공업,2020-05-22,2640.0,3020.0,14.4,379.0
102,034940,조아제약,2020-05-22,5670.0,14130.0,149.21,176.0
,,SELL,,,,,
,,PREDICT,,,,,
1,005440,현대그린푸드(Bought),2020-05-22,8660.0,9145.0,5.61,115.0
3,003060,에이프로젠제약(Bought),2020-05-22,2050.0,1999.0,-2.46,488.0
4,025820,이구산업(Bought),2020-05-22,1540.0,1368.0,-11.14,649.0
5,031860,엔에스엔(Bought),2020-05-22,2340.0,2398.0,2.5,427.0
6,035620,바른손이앤에이,2020-05-22,2290.0,2315.0,1.09,437.0
7,013810,스페코,2020-05-22,3800.0,3755.0,-1.17,263.0
8,026890,디피씨,2020-05-22,10100.0,9916.0,-1.82,99.0
9,001200,유진증권,2020-05-22,2930.0,3058.0,4.4,341.0
10,032680,소프트센,2020-05-22,2445.0,2382.0,-2.57,409.0
11,002140,고려산업,2020-05-22,3495.0,3508.0,0.39,286.0
12,032850,비트컴퓨터,2020-05-22,12250.0,11644.0,-4.95,82.0
13,036120,SCI평가정보,2020-05-22,3415.0,3363.0,-1.51,293.0
14,032620,유비케어,2020-05-22,10450.0,10865.0,3.98,96.0
15,016380,KG동부제철,2020-05-22,12100.0,12191.0,0.75,83.0
16,037070,파세코,2020-05-22,16900.0,15863.0,-6.13,59.0
17,002020,코오롱,2020-05-22,18050.0,18200.0,0.84,55.0
18,005320,국동,2020-05-22,3255.0,3067.0,-5.75,307.0
19,004920,씨아이테크,2020-05-22,1220.0,1017.0,-16.6,820.0
20,001020,페이퍼코리아,2020-05-22,1355.0,1353.0,-0.13,738.0
21,032190,다우데이타,2020-05-22,13300.0,13816.0,3.88,75.0
22,036580,팜스코,2020-05-22,7620.0,6158.0,-19.19,131.0
23,002620,제일파마홀딩스,2020-05-22,19700.0,17202.0,-12.68,51.0
24,036810,에프에스티,2020-05-22,12850.0,10604.0,-17.47,78.0
25,003090,대웅,2020-05-22,17400.0,17441.0,0.24,57.0
26,016250,이테크건설,2020-05-22,98000.0,96517.0,-1.51,10.0
27,009190,대양금속,2020-05-22,5400.0,4117.0,-23.76,185.0
28,023900,풍국주정,2020-05-22,22050.0,22448.0,1.81,45.0
29,000910,유니온,2020-05-22,7570.0,7015.0,-7.33,132.0
30,007460,에이프로젠 KIC,2020-05-22,3150.0,3165.0,0.49,317.0
31,000370,한화손해보험,2020-05-22,2410.0,2298.0,-4.62,415.0
32,025320,시노펙스,2020-05-22,2880.0,2876.0,-0.11,347.0
33,033230,인성정보,2020-05-22,4955.0,4679.0,-5.55,202.0
34,007860,서연,2020-05-22,3530.0,3583.0,1.53,283.0
35,001550,조비,2020-05-22,16250.0,16216.0,-0.2,62.0
36,023960,에쓰씨엔지니어링,2020-05-22,1330.0,1328.0,-0.14,752.0
37,002700,신일전자,2020-05-22,2300.0,2315.0,0.68,435.0
38,001120,LG상사,2020-05-22,13950.0,13666.0,-2.03,72.0
39,006920,모헨즈,2020-05-22,4305.0,4315.0,0.25,232.0
40,012600,청호컴넷,2020-05-22,3080.0,2967.0,-3.65,325.0
41,008250,이건산업,2020-05-22,6170.0,6328.0,2.57,162.0
42,029460,케이씨,2020-05-22,20100.0,19963.0,-0.68,50.0
43,007110,일신석재,2020-05-22,2435.0,2057.0,-15.52,411.0
44,010100,한국프랜지공업,2020-05-22,2640.0,3020.0,14.4,379.0
45,015860,일진홀딩스,2020-05-22,3950.0,4050.0,2.55,253.0
46,004430,송원산업,2020-05-22,14700.0,14955.0,1.74,68.0
47,035080,인터파크홀딩스,2020-05-22,1910.0,1865.0,-2.34,524.0
48,005750,대림비앤코,2020-05-22,4260.0,3954.0,-7.17,235.0
49,011790,SKC,2020-05-22,52700.0,52861.0,0.31,19.0
50,017510,세명전기,2020-05-22,4375.0,4325.0,-1.12,229.0
51,025900,동화기업,2020-05-22,24350.0,24001.0,-1.43,41.0
52,020120,키다리스튜디오,2020-05-22,6330.0,6587.0,4.07,158.0
53,010170,대한광통신,2020-05-22,3555.0,3389.0,-4.66,281.0
54,005390,신성통상,2020-05-22,1250.0,1037.0,-17.0,800.0
55,018700,바른손,2020-05-22,3320.0,3338.0,0.55,301.0
56,011320,유니크,2020-05-22,6810.0,7064.0,3.73,147.0
57,027710,팜스토리,2020-05-22,1115.0,1110.0,-0.37,897.0
58,000990,DB하이텍,2020-05-22,27300.0,27120.0,-0.66,37.0
59,004540,깨끗한나라,2020-05-22,4055.0,3999.0,-1.36,247.0
60,039610,화성밸브,2020-05-22,5800.0,5799.0,-0.01,172.0
61,005860,한일사료,2020-05-22,1755.0,1785.0,1.73,570.0
62,006840,AK홀딩스,2020-05-22,23100.0,23893.0,3.43,43.0
63,033320,제이씨현시스템,2020-05-22,4560.0,4346.0,-4.68,219.0
64,033500,동성화인텍,2020-05-22,8370.0,8472.0,1.22,119.0
65,012510,더존비즈온,2020-05-22,101000.0,99702.0,-1.29,10.0
66,006400,삼성SDI,2020-05-22,336000.0,324029.0,-3.56,3.0
67,017960,한국카본,2020-05-22,7540.0,7456.0,-1.11,133.0
68,031510,오스템,2020-05-22,1760.0,1750.0,-0.57,568.0
69,019660,글로본,2020-05-22,2425.0,2509.0,3.49,412.0
70,006650,대한유화,2020-05-22,125500.0,132628.0,5.68,8.0
71,032800,판타지오,2020-05-22,933.0,954.0,2.27,1072.0
72,004710,한솔테크닉스,2020-05-22,7740.0,7158.0,-7.51,129.0
73,009290,광동제약,2020-05-22,7400.0,7063.0,-4.54,135.0
74,001060,JW중외제약,2020-05-22,33550.0,29722.0,-11.41,30.0
75,000020,동화약품,2020-05-22,10250.0,9788.0,-4.5,98.0
76,007210,벽산,2020-05-22,1635.0,1623.0,-0.72,612.0
77,010660,화천기계,2020-05-22,3735.0,3393.0,-9.13,268.0
