rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
27,001200,유진증권,2020-05-06,3100.0,3407.0,9.93,323.0
77,006650,대한유화,2020-05-06,125000.0,138079.0,10.46,8.0
82,010100,한국프랜지공업,2020-05-06,2270.0,2594.0,14.28,441.0
92,026150,특수건설,2020-05-06,8340.0,8924.0,7.01,120.0
100,007110,일신석재,2020-05-06,2615.0,3337.0,27.61,382.0
163,036630,세종텔레콤,2020-05-06,338.0,349.0,3.28,2959.0
208,011780,금호석유화학,2020-05-06,69400.0,71785.0,3.44,14.0
210,004100,태양금속공업,2020-05-06,1210.0,1274.0,5.37,826.0
,,SELL,,,,,
80,003090,대웅,2020-05-06,16550.0,6275.0,-62.08,60.0
126,002820,선창산업,2020-05-06,4140.0,2641.0,-36.19,242.0
235,005720,넥센,2020-05-06,4680.0,3312.0,-29.23,214.0
,,PREDICT,,,,,
1,031860,엔에스엔(Bought),2020-05-06,2430.0,2330.0,-4.1,412.0
2,007860,서연(Bought),2020-05-06,3835.0,3604.0,-6.02,261.0
3,035620,바른손이앤에이,2020-05-06,2415.0,2413.0,-0.04,414.0
4,012690,모나리자,2020-05-06,7260.0,6988.0,-3.73,138.0
5,021050,서원,2020-05-06,2990.0,2921.0,-2.3,334.0
6,014530,극동유화,2020-05-06,3240.0,2891.0,-10.77,309.0
7,017650,대림제지,2020-05-06,1695.0,1640.0,-3.21,590.0
8,012860,모베이스전자,2020-05-06,1425.0,1170.0,-17.83,702.0
9,016600,큐캐피탈,2020-05-06,751.0,710.0,-5.45,1332.0
10,006050,국영지앤엠,2020-05-06,2705.0,2617.0,-3.23,370.0
11,032850,비트컴퓨터,2020-05-06,10500.0,9759.0,-7.05,95.0
12,012600,청호컴넷,2020-05-06,2460.0,2319.0,-5.71,407.0
13,031310,아이즈비전,2020-05-06,3895.0,3762.0,-3.39,257.0
14,003060,에이프로젠제약,2020-05-06,2045.0,1644.0,-19.59,489.0
15,033540,파라텍,2020-05-06,5590.0,5330.0,-4.64,179.0
16,004140,동방,2020-05-06,2265.0,2272.0,0.35,442.0
17,036120,SCI평가정보,2020-05-06,2895.0,2781.0,-3.92,345.0
18,002720,국제약품,2020-05-06,7080.0,7154.0,1.05,141.0
19,016250,이테크건설,2020-05-06,82700.0,82239.0,-0.56,12.0
20,017510,세명전기,2020-05-06,4865.0,4761.0,-2.12,206.0
21,008600,윌비스,2020-05-06,1615.0,1429.0,-11.5,619.0
22,016380,KG동부제철,2020-05-06,13250.0,13321.0,0.54,75.0
23,032620,유비케어,2020-05-06,8150.0,7046.0,-13.54,123.0
24,001880,삼호,2020-05-06,22650.0,22599.0,-0.22,44.0
25,005430,한국공항,2020-05-06,40650.0,40634.0,-0.04,25.0
26,016670,포비스티앤씨,2020-05-06,1390.0,1423.0,2.41,719.0
27,001200,유진증권,2020-05-06,3100.0,3407.0,9.93,323.0
28,006920,모헨즈,2020-05-06,4305.0,4207.0,-2.27,232.0
29,037070,파세코,2020-05-06,13900.0,13520.0,-2.73,72.0
30,023900,풍국주정,2020-05-06,18750.0,15815.0,-15.65,53.0
31,035080,인터파크홀딩스,2020-05-06,2000.0,1855.0,-7.22,500.0
32,011150,CJ씨푸드,2020-05-06,4280.0,3943.0,-7.87,234.0
33,026890,디피씨,2020-05-06,10100.0,10219.0,1.18,99.0
34,001120,LG상사,2020-05-06,13350.0,12887.0,-3.46,75.0
35,005880,대한해운,2020-05-06,17500.0,17022.0,-2.73,57.0
36,013810,스페코,2020-05-06,3345.0,3316.0,-0.85,299.0
37,010170,대한광통신,2020-05-06,3210.0,3224.0,0.46,312.0
38,030350,드래곤플라이,2020-05-06,2530.0,1840.0,-27.25,395.0
39,010770,평화홀딩스,2020-05-06,3310.0,3242.0,-2.04,302.0
40,002210,동성제약,2020-05-06,13200.0,12235.0,-7.31,76.0
41,001840,이화공영,2020-05-06,5840.0,5342.0,-8.52,171.0
42,035810,이지바이오,2020-05-06,4260.0,4155.0,-2.46,235.0
43,023960,에쓰씨엔지니어링,2020-05-06,1300.0,1276.0,-1.85,769.0
44,002140,고려산업,2020-05-06,3555.0,3581.0,0.74,281.0
45,032680,소프트센,2020-05-06,2205.0,2028.0,-8.02,454.0
46,033230,인성정보,2020-05-06,5130.0,4576.0,-10.79,195.0
47,004430,송원산업,2020-05-06,13800.0,13980.0,1.31,72.0
48,012790,신일제약,2020-05-06,7450.0,7361.0,-1.19,134.0
49,036710,심텍홀딩스,2020-05-06,1550.0,1341.0,-13.42,645.0
50,025320,시노펙스,2020-05-06,2750.0,2677.0,-2.65,364.0
51,011230,삼화전자공업,2020-05-06,2540.0,2505.0,-1.38,394.0
52,033320,제이씨현시스템,2020-05-06,4430.0,4137.0,-6.61,226.0
53,037230,한국팩키지,2020-05-06,2385.0,2186.0,-8.34,419.0
54,005180,빙그레,2020-05-06,67800.0,63731.0,-6.0,15.0
55,007390,네이처셀,2020-05-06,11250.0,10984.0,-2.36,89.0
56,015860,일진홀딩스,2020-05-06,3760.0,3729.0,-0.8,266.0
57,006390,한일현대시멘트,2020-05-06,32300.0,32211.0,-0.27,31.0
58,002020,코오롱,2020-05-06,18500.0,18266.0,-1.26,54.0
59,002700,신일전자,2020-05-06,2260.0,2054.0,-9.07,442.0
60,005950,이수화학,2020-05-06,11900.0,11321.0,-4.86,84.0
61,004200,고려개발,2020-05-06,9650.0,9256.0,-4.08,104.0
62,005110,한창,2020-05-06,2625.0,2582.0,-1.62,381.0
63,009470,삼화전기,2020-05-06,14550.0,14645.0,0.66,69.0
64,011420,갤럭시아에스엠,2020-05-06,1310.0,1184.0,-9.56,763.0
65,000020,동화약품,2020-05-06,10600.0,9576.0,-9.66,94.0
66,039610,화성밸브,2020-05-06,5740.0,5504.0,-4.1,174.0
67,011320,유니크,2020-05-06,6460.0,6300.0,-2.47,155.0
68,009520,포스코엠텍,2020-05-06,4160.0,3806.0,-8.51,240.0
69,006980,우성사료,2020-05-06,3350.0,3363.0,0.42,299.0
70,014160,대영포장,2020-05-06,1195.0,1074.0,-10.07,837.0
71,004090,한국석유공업,2020-05-06,100500.0,99175.0,-1.32,10.0
72,001020,페이퍼코리아,2020-05-06,1470.0,1326.0,-9.78,680.0
73,026040,제이에스티나,2020-05-06,2675.0,2673.0,-0.06,374.0
74,004830,덕성,2020-05-06,3615.0,3406.0,-5.76,277.0
75,011760,현대종합상사,2020-05-06,15250.0,14949.0,-1.97,66.0
76,009460,한창제지,2020-05-06,2240.0,2149.0,-4.03,446.0
77,006650,대한유화,2020-05-06,125000.0,138079.0,10.46,8.0
78,004270,남성,2020-05-06,2255.0,2144.0,-4.9,443.0
79,007460,에이프로젠 KIC,2020-05-06,3405.0,3483.0,2.3,294.0
80,003090,대웅,2020-05-06,16550.0,6275.0,-62.08,60.0
81,000910,유니온,2020-05-06,4590.0,4673.0,1.82,218.0
82,010100,한국프랜지공업,2020-05-06,2270.0,2594.0,14.28,441.0
83,000220,유유제약,2020-05-06,11200.0,11294.0,0.85,89.0
84,011390,부산산업,2020-05-06,153000.0,145334.0,-5.01,7.0
85,035610,솔본,2020-05-06,3740.0,3592.0,-3.95,267.0
86,036810,에프에스티,2020-05-06,8230.0,7482.0,-9.08,122.0
87,012280,영화금속,2020-05-06,1620.0,1511.0,-6.68,617.0
88,010660,화천기계,2020-05-06,3130.0,2890.0,-7.66,319.0
89,000370,한화손해보험,2020-05-06,2125.0,2051.0,-3.45,471.0
90,030520,한글과컴퓨터,2020-05-06,12450.0,12113.0,-2.7,80.0
91,005750,대림비앤코,2020-05-06,3835.0,3610.0,-5.86,261.0
92,026150,특수건설,2020-05-06,8340.0,8924.0,7.01,120.0
93,010820,퍼스텍,2020-05-06,1865.0,1860.0,-0.23,536.0
94,008250,이건산업,2020-05-06,5890.0,5726.0,-2.78,170.0
95,024740,한일단조,2020-05-06,1395.0,1392.0,-0.17,717.0
96,038680,에스넷,2020-05-06,6600.0,6381.0,-3.32,152.0
97,024890,대원화성,2020-05-06,1460.0,1173.0,-19.62,685.0
98,012610,경인양행,2020-05-06,7220.0,6698.0,-7.22,139.0
99,020120,키다리스튜디오,2020-05-06,7220.0,7071.0,-2.06,139.0
100,007110,일신석재,2020-05-06,2615.0,3337.0,27.61,382.0
101,031820,콤텍시스템,2020-05-06,1405.0,1353.0,-3.69,712.0
102,007210,벽산,2020-05-06,1695.0,1690.0,-0.28,590.0
103,017040,광명전기,2020-05-06,2085.0,2047.0,-1.82,480.0
104,033250,체시스,2020-05-06,2370.0,2333.0,-1.53,422.0
105,001380,SG충방,2020-05-06,1270.0,1177.0,-7.29,787.0
106,002100,경농,2020-05-06,13050.0,13058.0,0.07,77.0
107,004910,조광페인트,2020-05-06,5820.0,5629.0,-3.27,172.0
108,004920,씨아이테크,2020-05-06,1095.0,958.0,-12.5,913.0
