rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
,,SELL,,,,,
,,PREDICT,,,,,
1,004140,동방(Bought),2020-05-19,2270.0,2468.0,8.74,441.0
2,003060,에이프로젠제약(Bought),2020-05-19,2105.0,2021.0,-3.97,475.0
3,025820,이구산업(Bought),2020-05-19,1420.0,1402.0,-1.27,704.0
4,031860,엔에스엔(Bought New),2020-05-19,2320.0,2296.0,-1.03,431.0
5,013810,스페코,2020-05-19,3570.0,3554.0,-0.42,280.0
6,035620,바른손이앤에이,2020-05-19,2260.0,2228.0,-1.38,442.0
7,004920,씨아이테크,2020-05-19,1150.0,1011.0,-12.04,870.0
8,026890,디피씨,2020-05-19,10300.0,10025.0,-2.66,97.0
9,003090,대웅,2020-05-19,17400.0,17781.0,2.19,57.0
10,002020,코오롱,2020-05-19,18050.0,18263.0,1.18,55.0
11,032680,소프트센,2020-05-19,2540.0,2472.0,-2.65,394.0
12,002140,고려산업,2020-05-19,3520.0,3528.0,0.24,284.0
13,001200,유진증권,2020-05-19,3005.0,2997.0,-0.26,333.0
14,002620,제일파마홀딩스,2020-05-19,19700.0,13120.0,-33.4,51.0
15,036580,팜스코,2020-05-19,6180.0,5608.0,-9.25,162.0
16,007460,에이프로젠 KIC,2020-05-19,3195.0,3122.0,-2.26,313.0
17,033230,인성정보,2020-05-19,5280.0,5017.0,-4.97,189.0
18,016250,이테크건설,2020-05-19,90400.0,86848.0,-3.93,11.0
19,000910,유니온,2020-05-19,6600.0,4843.0,-26.62,152.0
20,012600,청호컴넷,2020-05-19,3175.0,3187.0,0.38,315.0
21,020120,키다리스튜디오,2020-05-19,6660.0,6889.0,3.45,150.0
22,001520,동양,2020-05-19,1560.0,1319.0,-15.44,641.0
23,006920,모헨즈,2020-05-19,4300.0,4288.0,-0.27,233.0
24,001120,LG상사,2020-05-19,14100.0,13533.0,-4.02,71.0
25,011390,부산산업,2020-05-19,141500.0,142649.0,0.81,7.0
