rank,code,name,date,close,next_close,ratio,cnt
,,BUY,,,,,
1,019490,하이트론씨스템즈(Bought),2020-05-14,3100.0,3844.0,24.02,323.0
2,004990,롯데지주(Bought),2020-05-14,35950.0,73448.0,104.31,28.0
52,003060,에이프로젠제약,2020-05-14,2110.0,2442.0,15.75,474.0
162,025820,이구산업,2020-05-14,1410.0,1599.0,13.44,709.0
,,SELL,,,,,
,,PREDICT,,,,,
1,019490,하이트론씨스템즈(Bought),2020-05-14,3100.0,3844.0,24.02,323.0
2,004990,롯데지주(Bought),2020-05-14,35950.0,73448.0,104.31,28.0
3,031860,엔에스엔(Bought),2020-05-14,2190.0,2231.0,1.89,457.0
4,007860,서연(Bought),2020-05-14,3520.0,3620.0,2.87,284.0
5,013810,스페코,2020-05-14,3350.0,3348.0,-0.05,299.0
6,026890,디피씨,2020-05-14,9800.0,9450.0,-3.57,102.0
7,001200,유진증권,2020-05-14,3035.0,3036.0,0.04,329.0
8,032680,소프트센,2020-05-14,2550.0,2473.0,-3.0,392.0
9,002140,고려산업,2020-05-14,3260.0,3356.0,2.96,307.0
10,003090,대웅,2020-05-14,17750.0,17686.0,-0.36,56.0
11,002020,코오롱,2020-05-14,17700.0,17925.0,1.28,56.0
12,007460,에이프로젠 KIC,2020-05-14,3240.0,3505.0,8.19,309.0
13,004920,씨아이테크,2020-05-14,1115.0,1006.0,-9.7,897.0
14,001840,이화공영,2020-05-14,5260.0,5218.0,-0.79,190.0
15,033230,인성정보,2020-05-14,5300.0,4929.0,-6.99,189.0
16,004840,DRB동일,2020-05-14,6100.0,6348.0,4.07,164.0
17,006920,모헨즈,2020-05-14,4200.0,4165.0,-0.82,238.0
18,000910,유니온,2020-05-14,5170.0,4922.0,-4.79,193.0
19,017510,세명전기,2020-05-14,4380.0,4392.0,0.28,228.0
20,005320,국동,2020-05-14,3750.0,3175.0,-15.31,267.0
21,001120,LG상사,2020-05-14,13200.0,12849.0,-2.66,76.0
22,035080,인터파크홀딩스,2020-05-14,1960.0,1927.0,-1.65,510.0
23,016250,이테크건설,2020-05-14,84400.0,85608.0,1.43,12.0
24,012600,청호컴넷,2020-05-14,3075.0,3318.0,7.92,325.0
25,002210,동성제약,2020-05-14,13450.0,13075.0,-2.79,74.0
26,008250,이건산업,2020-05-14,5730.0,5547.0,-3.18,175.0
27,000990,DB하이텍,2020-05-14,28400.0,27124.0,-4.49,35.0
28,023960,에쓰씨엔지니어링,2020-05-14,1270.0,1267.0,-0.2,787.0
29,002230,피에스텍,2020-05-14,3715.0,3685.0,-0.8,269.0
30,005950,이수화학,2020-05-14,12150.0,11971.0,-1.47,82.0
31,036580,팜스코,2020-05-14,6030.0,5170.0,-14.26,166.0
32,036710,심텍홀딩스,2020-05-14,1560.0,1435.0,-7.98,641.0
33,011390,부산산업,2020-05-14,140500.0,144395.0,2.77,7.0
34,017800,현대엘리베이터,2020-05-14,62000.0,62458.0,0.74,16.0
35,006650,대한유화,2020-05-14,133000.0,127433.0,-4.19,8.0
36,031510,오스템,2020-05-14,1755.0,1739.0,-0.89,570.0
37,015860,일진홀딩스,2020-05-14,3830.0,3835.0,0.15,261.0
38,006390,한일현대시멘트,2020-05-14,29900.0,30564.0,2.22,33.0
39,020120,키다리스튜디오,2020-05-14,7050.0,6851.0,-2.82,142.0
40,005860,한일사료,2020-05-14,1700.0,1726.0,1.56,588.0
41,010770,평화홀딩스,2020-05-14,3255.0,3239.0,-0.49,307.0
42,011150,CJ씨푸드,2020-05-14,4095.0,3850.0,-5.97,244.0
43,010100,한국프랜지공업,2020-05-14,2120.0,2098.0,-1.03,472.0
44,006840,AK홀딩스,2020-05-14,23050.0,23779.0,3.17,43.0
45,027710,팜스토리,2020-05-14,1070.0,1064.0,-0.5,935.0
46,025320,시노펙스,2020-05-14,3010.0,2942.0,-2.25,332.0
47,037760,쎄니트,2020-05-14,1735.0,1746.0,0.65,576.0
48,031980,피에스케이홀딩스,2020-05-14,7670.0,7711.0,0.54,130.0
49,019660,글로본,2020-05-14,2520.0,2578.0,2.31,397.0
50,018310,삼목에스폼,2020-05-14,7010.0,6798.0,-3.02,143.0
51,011370,서한,2020-05-14,973.0,1014.0,4.23,1028.0
52,003060,에이프로젠제약,2020-05-14,2110.0,2442.0,15.75,474.0
53,036090,위지트,2020-05-14,622.0,591.0,-4.84,1608.0
54,002300,한국제지,2020-05-14,17700.0,15823.0,-10.6,56.0
55,030720,동원수산,2020-05-14,8900.0,8800.0,-1.12,112.0
56,034810,해성산업,2020-05-14,12000.0,10560.0,-11.99,83.0
57,003560,아이에이치큐,2020-05-14,1600.0,1581.0,-1.14,625.0
58,024840,KBI메탈,2020-05-14,1265.0,1245.0,-1.55,791.0
59,023900,풍국주정,2020-05-14,19900.0,18043.0,-9.33,50.0
60,007210,벽산,2020-05-14,1595.0,1546.0,-3.05,627.0
61,000370,한화손해보험,2020-05-14,2600.0,2404.0,-7.51,385.0
62,012200,계양전기,2020-05-14,2770.0,2734.0,-1.27,361.0
63,011560,세보엠이씨,2020-05-14,5220.0,5132.0,-1.67,192.0
64,000540,흥국화재,2020-05-14,2530.0,2464.0,-2.6,395.0
65,027830,대성창투,2020-05-14,1895.0,1866.0,-1.5,528.0
66,014990,인디에프,2020-05-14,2015.0,1823.0,-9.52,496.0
67,004270,남성,2020-05-14,2230.0,2183.0,-2.1,448.0
68,030210,KTB투자증권,2020-05-14,2485.0,2519.0,1.4,402.0
69,005390,신성통상,2020-05-14,1105.0,987.0,-10.64,905.0
70,033320,제이씨현시스템,2020-05-14,4110.0,4037.0,-1.78,243.0
71,004830,덕성,2020-05-14,3485.0,3424.0,-1.72,287.0
72,005180,빙그레,2020-05-14,66900.0,66686.0,-0.32,15.0
73,007160,사조산업,2020-05-14,29800.0,30516.0,2.4,34.0
74,003160,디아이,2020-05-14,3245.0,3214.0,-0.94,308.0
75,009270,신원,2020-05-14,1655.0,1505.0,-9.01,604.0
76,025550,한국선재,2020-05-14,2600.0,2639.0,1.53,385.0
77,002990,금호산업,2020-05-14,7260.0,7378.0,1.64,138.0
78,002820,선창산업,2020-05-14,3805.0,2876.0,-24.41,263.0
79,016450,한세예스24홀딩스,2020-05-14,5090.0,5034.0,-1.09,196.0
