code,name,predict,index,start_date,end_date
024900,덕양산업,11108986.0,8518519.0,2019-11-25,2020-05-21
004490,세방전지,11041215.0,7761780.0,2019-11-25,2020-05-21
008500,일정실업,10915564.0,5955679.0,2019-11-25,2020-05-21
011330,유니켐,10873826.0,7562189.0,2019-11-25,2020-05-21
010140,삼성중공업,10866918.0,6230101.0,2019-11-25,2020-05-21
004020,현대제철,10858927.0,6356589.0,2019-11-25,2020-05-21
002900,동양물산기업,10824132.0,10706638.0,2019-11-25,2020-05-21
037400,우리조명,10736421.0,9181034.0,2019-11-25,2020-05-21
025950,동신건설,10675628.0,9173554.0,2019-11-25,2020-05-21
033160,엠케이전자,10668528.0,10187668.0,2019-11-25,2020-05-21
025440,대성엘텍,10629082.0,8960000.0,2019-11-25,2020-05-21
002380,케이씨씨,10603810.0,7159091.0,2019-11-25,2020-05-21
009460,한창제지,10540369.0,7681895.0,2019-11-25,2020-05-21
010060,OCI,10533259.0,6916933.0,2019-11-25,2020-05-21
025620,제이준코스메틱,10528785.0,7417062.0,2019-11-25,2020-05-21
009810,엔케이물산,10452495.0,9086022.0,2019-11-25,2020-05-21
005380,현대자동차,10393744.0,7776000.0,2019-11-25,2020-05-21
008350,남선알미늄,10388915.0,18759690.0,2019-11-25,2020-05-21
016600,큐캐피탈,10314541.0,12085470.0,2019-11-26,2020-05-22
003920,남양유업,10292900.0,6677350.0,2019-11-25,2020-05-21
024810,이화전기,10290426.0,7926267.0,2019-11-25,2020-05-21
040610,SG&G,10236719.0,7312661.0,2019-11-25,2020-05-21
004100,태양금속공업,10199575.0,9917695.0,2019-11-25,2020-05-21
013520,화승알앤에이,10169708.0,7639594.0,2019-11-25,2020-05-21
003650,미창석유공업,10111255.0,7381546.0,2019-11-25,2020-05-21
018880,한온시스템,10103046.0,8405530.0,2019-11-25,2020-05-21
000150,두산,10089375.0,5166205.0,2019-11-25,2020-05-21
003460,유화증권,10076763.0,1821429.0,2019-11-25,2020-05-21
007120,미래아이앤지,10044871.0,12524272.0,2019-11-25,2020-05-21
008970,동양철관,10014992.0,10000000.0,2019-11-25,2020-05-21
006660,삼성공조,10000000.0,7383721.0,2019-11-25,2020-05-21
004080,신흥,10000000.0,9851064.0,2019-11-25,2020-05-21
032960,동일기연,10000000.0,8387097.0,2019-11-25,2020-05-21
002310,아세아제지,10000000.0,10527183.0,2019-11-25,2020-05-21
002840,미원상사,10000000.0,12535714.0,2019-11-25,2020-05-21
037440,희림,10000000.0,9345238.0,2019-11-25,2020-05-21
024830,세원물산,10000000.0,10000000.0,2019-11-25,2020-05-21
003550,LG,10000000.0,8743169.0,2019-11-25,2020-05-21
015760,한국전력공사,10000000.0,7755835.0,2019-11-25,2020-05-21
007570,일양약품,10000000.0,15406032.0,2019-11-25,2020-05-21
001260,남광토건,10000000.0,9957806.0,2019-11-25,2020-05-21
000950,전방,10000000.0,8043478.0,2019-11-25,2020-05-21
005190,동성화학,10000000.0,10295858.0,2019-11-25,2020-05-21
003960,사조대림,10000000.0,9174041.0,2019-11-25,2020-05-21
023410,유진기업,10000000.0,8481142.0,2019-11-25,2020-05-21
009140,경인전자,10000000.0,8370370.0,2019-11-25,2020-05-21
024090,디씨엠,10000000.0,8634538.0,2019-11-25,2020-05-21
005940,NH투자증권,10000000.0,8000000.0,2019-11-25,2020-05-21
017670,SK텔레콤,10000000.0,8658537.0,2019-11-25,2020-05-21
008110,대동전자,10000000.0,11948424.0,2019-11-25,2020-05-21
033200,모아텍,10000000.0,11920530.0,2019-11-25,2020-05-21
003540,대신증권,10000000.0,8137652.0,2019-11-25,2020-05-21
031390,녹십자셀,10000000.0,10141343.0,2019-11-25,2020-05-21
001770,신화실업,10000000.0,9929577.0,2019-11-25,2020-05-21
003230,삼양식품,10000000.0,14485459.0,2019-11-25,2020-05-21
008490,서흥,10000000.0,14735336.0,2019-11-25,2020-05-21
