code,name,predict,index,start_date,end_date
035620,바른손이앤에이,50381053.0,16527778.0,2019-11-25,2020-05-21
001200,유진증권,29502100.0,14511628.0,2019-11-25,2020-05-21
032850,비트컴퓨터,29500384.0,29468599.0,2019-11-25,2020-05-21
036120,SCI평가정보,29500091.0,13128599.0,2019-11-25,2020-05-21
032620,유비케어,29499067.0,20377358.0,2019-11-25,2020-05-21
032190,다우데이타,29494532.0,16686747.0,2019-11-25,2020-05-21
003090,대웅,29489968.0,13396947.0,2019-11-25,2020-05-21
007860,서연,28847888.0,11794454.0,2019-11-25,2020-05-21
033230,인성정보,27492883.0,22702703.0,2019-11-25,2020-05-21
036810,에프에스티,27490733.0,17462687.0,2019-11-25,2020-05-21
023900,풍국주정,27481602.0,13466258.0,2019-11-25,2020-05-21
004920,씨아이테크,26854390.0,24217119.0,2019-11-25,2020-05-21
005320,국동,26854199.0,23225806.0,2019-11-25,2020-05-21
025320,시노펙스,26852879.0,11079545.0,2019-11-25,2020-05-21
036580,팜스코,26692544.0,15062762.0,2019-11-25,2020-05-21
012600,청호컴넷,26231001.0,11423150.0,2019-11-25,2020-05-21
020120,키다리스튜디오,26229806.0,15490654.0,2019-11-25,2020-05-21
000910,유니온,26229273.0,14918415.0,2019-11-25,2020-05-21
016250,이테크건설,25765626.0,14151473.0,2019-11-25,2020-05-21
026150,특수건설,24442115.0,10550725.0,2019-11-25,2020-05-21
010170,대한광통신,22750296.0,10882353.0,2019-11-25,2020-05-21
031310,아이즈비전,22353551.0,11948791.0,2019-11-25,2020-05-21
033320,제이씨현시스템,22315121.0,9780793.0,2019-11-25,2020-05-21
023960,에쓰씨엔지니어링,22185102.0,8815789.0,2019-11-25,2020-05-21
005070,코스모신소재,22103222.0,16666667.0,2019-11-25,2020-05-21
034940,조아제약,22054547.0,13434728.0,2019-11-25,2020-05-21
009470,삼화전기,21776857.0,13431734.0,2019-11-25,2020-05-21
012280,영화금속,21574850.0,10182371.0,2019-11-25,2020-05-21
007110,일신석재,21512500.0,9392789.0,2019-11-25,2020-05-21
002700,신일전자,21311682.0,14591195.0,2019-11-25,2020-05-21
008600,윌비스,21149783.0,10959410.0,2019-11-25,2020-05-21
001120,LG상사,21129095.0,9276316.0,2019-11-25,2020-05-21
011320,유니크,21071683.0,11868687.0,2019-11-25,2020-05-21
001840,이화공영,21037224.0,10310680.0,2019-11-25,2020-05-21
002210,동성제약,21022276.0,8411215.0,2019-11-25,2020-05-21
004430,송원산업,20684516.0,10099010.0,2019-11-25,2020-05-21
005750,대림비앤코,20641328.0,10291971.0,2019-11-25,2020-05-21
004830,덕성,20505609.0,12333333.0,2019-11-25,2020-05-21
018000,유니슨,20412722.0,13975155.0,2019-11-25,2020-05-21
014990,인디에프,20411981.0,7454212.0,2019-11-25,2020-05-21
039610,화성밸브,20244217.0,9109375.0,2019-11-25,2020-05-21
001210,금호전기,20115387.0,9564607.0,2019-11-25,2020-05-21
011390,부산산업,20102184.0,9044586.0,2019-11-25,2020-05-21
004270,남성,19983757.0,7712934.0,2019-11-25,2020-05-21
001680,대상,19927949.0,11282051.0,2019-11-25,2020-05-21
006650,대한유화,19902610.0,11379310.0,2019-11-25,2020-05-21
014970,삼륭물산,19413522.0,7554455.0,2019-11-25,2020-05-21
004060,SG세계물산,19355018.0,7602210.0,2019-11-25,2020-05-21
011790,SKC,19318098.0,11711518.0,2019-11-25,2020-05-21
037460,삼지전자,19285120.0,11081654.0,2019-11-25,2020-05-21
011760,현대종합상사,19268363.0,8347578.0,2019-11-25,2020-05-21
011230,삼화전자공업,19265868.0,12141328.0,2019-11-25,2020-05-21
005830,DB손해보험,19240709.0,8369763.0,2019-11-25,2020-05-21
027830,대성창투,19189505.0,9393204.0,2019-11-25,2020-05-21
035610,솔본,19115159.0,9628713.0,2019-11-25,2020-05-21
019490,하이트론씨스템즈,19064309.0,9037594.0,2019-11-25,2020-05-21
