code,name,predict,index,start_date,end_date
035620,바른손이앤에이,32826710.0,16527778.0,2019-11-25,2020-05-21
005320,국동,32783036.0,23225806.0,2019-11-25,2020-05-21
013810,스페코,31159513.0,12705061.0,2019-11-25,2020-05-21
004920,씨아이테크,29502280.0,24217119.0,2019-11-25,2020-05-21
026890,디피씨,29502237.0,21599169.0,2019-11-25,2020-05-21
001200,유진증권,29502100.0,14511628.0,2019-11-25,2020-05-21
032680,소프트센,29501172.0,11013216.0,2019-11-25,2020-05-21
002140,고려산업,29500598.0,10638607.0,2019-11-25,2020-05-21
032850,비트컴퓨터,29500384.0,29468599.0,2019-11-25,2020-05-21
036120,SCI평가정보,29500091.0,13128599.0,2019-11-25,2020-05-21
032620,유비케어,29499067.0,20377358.0,2019-11-25,2020-05-21
037070,파세코,29494337.0,18327796.0,2019-11-25,2020-05-21
003090,대웅,29489968.0,13396947.0,2019-11-25,2020-05-21
002020,코오롱,29486535.0,10343840.0,2019-11-25,2020-05-21
002620,제일파마홀딩스,25582883.0,10645161.0,2019-11-25,2020-05-21
033230,인성정보,25582094.0,22702703.0,2019-11-25,2020-05-21
001020,페이퍼코리아,25581807.0,21978022.0,2019-11-25,2020-05-21
032190,다우데이타,25576972.0,16686747.0,2019-11-25,2020-05-21
036810,에프에스티,25576901.0,17462687.0,2019-11-25,2020-05-21
036580,팜스코,23527271.0,15062762.0,2019-11-25,2020-05-21
010100,한국프랜지공업,22557451.0,12399050.0,2019-11-25,2020-05-21
001550,조비,22254150.0,9849398.0,2019-11-25,2020-05-21
023960,에쓰씨엔지니어링,22185102.0,8815789.0,2019-11-25,2020-05-21
007460,에이프로젠 KIC,22183113.0,13687500.0,2019-11-25,2020-05-21
023900,풍국주정,22181940.0,13466258.0,2019-11-25,2020-05-21
025320,시노펙스,22181850.0,11079545.0,2019-11-25,2020-05-21
016250,이테크건설,22051509.0,14151473.0,2019-11-25,2020-05-21
002700,신일전자,21311682.0,14591195.0,2019-11-25,2020-05-21
001120,LG상사,21129095.0,9276316.0,2019-11-25,2020-05-21
002210,동성제약,21022276.0,8411215.0,2019-11-25,2020-05-21
006920,모헨즈,20903026.0,9308855.0,2019-11-25,2020-05-21
007860,서연,20854420.0,11794454.0,2019-11-25,2020-05-21
008250,이건산업,20840255.0,8675676.0,2019-11-25,2020-05-21
029460,케이씨,20469743.0,14776119.0,2019-11-25,2020-05-21
002230,피에스텍,20182676.0,9747292.0,2019-11-25,2020-05-21
003060,에이프로젠제약,19878814.0,19351852.0,2019-11-25,2020-05-21
036710,심텍홀딩스,19444578.0,11399317.0,2019-11-25,2020-05-21
000020,동화약품,19410800.0,11855922.0,2019-11-25,2020-05-21
035080,인터파크홀딩스,19387838.0,8593407.0,2019-11-25,2020-05-21
011790,SKC,19318098.0,11711518.0,2019-11-25,2020-05-21
017510,세명전기,19317211.0,8624754.0,2019-11-25,2020-05-21
037460,삼지전자,19285120.0,11081654.0,2019-11-25,2020-05-21
005830,DB손해보험,19240709.0,8369763.0,2019-11-25,2020-05-21
009190,대양금속,19239663.0,3565217.0,2019-11-25,2020-05-21
012600,청호컴넷,19235725.0,11423150.0,2019-11-25,2020-05-21
000370,한화손해보험,19234778.0,8847518.0,2019-11-25,2020-05-21
020120,키다리스튜디오,19234595.0,15490654.0,2019-11-25,2020-05-21
000910,유니온,19233994.0,14918415.0,2019-11-25,2020-05-21
004840,DRB동일,19138352.0,12772643.0,2019-11-25,2020-05-21
007110,일신석재,19098872.0,9392789.0,2019-11-25,2020-05-21
005390,신성통상,18831278.0,7616099.0,2019-11-25,2020-05-21
027710,팜스토리,18667483.0,11127451.0,2019-11-25,2020-05-21
000990,DB하이텍,18664151.0,15271739.0,2019-11-25,2020-05-21
004830,덕성,18637774.0,12333333.0,2019-11-25,2020-05-21
004540,깨끗한나라,18600813.0,18336980.0,2019-11-25,2020-05-21
006650,대한유화,18554431.0,11379310.0,2019-11-25,2020-05-21
015860,일진홀딩스,18535949.0,10225847.0,2019-11-25,2020-05-21
005860,한일사료,18525875.0,9203085.0,2019-11-25,2020-05-21
036200,유니셈,18510109.0,13908297.0,2019-11-25,2020-05-21
004430,송원산업,18364758.0,10099010.0,2019-11-25,2020-05-21
010770,평화홀딩스,18344826.0,9017497.0,2019-11-25,2020-05-21
033500,동성화인텍,18337846.0,8288462.0,2019-11-25,2020-05-21
030720,동원수산,18331824.0,10021322.0,2019-11-25,2020-05-21
005750,대림비앤코,18323400.0,10291971.0,2019-11-25,2020-05-21
018700,바른손,18241619.0,17250000.0,2019-11-25,2020-05-21
012510,더존비즈온,18220951.0,14077670.0,2019-11-25,2020-05-21
006400,삼성SDI,18149534.0,14075630.0,2019-11-25,2020-05-21
017960,한국카본,18123493.0,10131406.0,2019-11-25,2020-05-21
014970,삼륭물산,18066077.0,7554455.0,2019-11-25,2020-05-21
031510,오스템,18056882.0,8689320.0,2019-11-25,2020-05-21
019660,글로본,17974379.0,7590711.0,2019-11-25,2020-05-21
026150,특수건설,17938920.0,10550725.0,2019-11-25,2020-05-21
032800,판타지오,17922447.0,15925926.0,2019-11-25,2020-05-21
038680,에스넷,17834794.0,10643713.0,2019-11-25,2020-05-21
007210,벽산,17764041.0,9015957.0,2019-11-25,2020-05-21
001520,동양,17703912.0,10719178.0,2019-11-25,2020-05-21
002300,한국제지,17596725.0,10230548.0,2019-11-25,2020-05-21
039610,화성밸브,17553880.0,9109375.0,2019-11-25,2020-05-21
037760,쎄니트,17491719.0,11037736.0,2019-11-25,2020-05-21
010170,대한광통신,17486761.0,10882353.0,2019-11-25,2020-05-21
006390,한일현대시멘트,17469705.0,9597424.0,2019-11-25,2020-05-21
006840,AK홀딩스,17459655.0,7710652.0,2019-11-25,2020-05-21
011390,부산산업,17428807.0,9044586.0,2019-11-25,2020-05-21
016600,큐캐피탈,17404952.0,12495637.0,2019-11-25,2020-05-21
017800,현대엘리베이터,17382330.0,8590786.0,2019-11-25,2020-05-21
033320,제이씨현시스템,17379720.0,9780793.0,2019-11-25,2020-05-21
005440,현대그린푸드,17370054.0,7641921.0,2019-11-25,2020-05-21
001680,대상,17276370.0,11282051.0,2019-11-25,2020-05-21
001500,현대차증권,17269655.0,8776119.0,2019-11-25,2020-05-21
030520,한글과컴퓨터,17253744.0,12500000.0,2019-11-25,2020-05-21
038880,아이에이,17242017.0,8859813.0,2019-11-25,2020-05-21
024880,케이피에프,17238495.0,8012959.0,2019-11-25,2020-05-21
000540,흥국화재,17186999.0,8396825.0,2019-11-25,2020-05-21
025550,한국선재,17169887.0,9035948.0,2019-11-25,2020-05-21
004270,남성,17124703.0,7712934.0,2019-11-25,2020-05-21
025860,남해화학,17102153.0,9291717.0,2019-11-25,2020-05-21
031860,엔에스엔,17091284.0,15433333.0,2019-11-25,2020-05-21
018310,삼목에스폼,17060115.0,7814939.0,2019-11-25,2020-05-21
012200,계양전기,17051712.0,10394265.0,2019-11-25,2020-05-21
024840,KBI메탈,17041798.0,7951807.0,2019-11-25,2020-05-21
031980,피에스케이홀딩스,17029342.0,9689441.0,2019-11-25,2020-05-21
021080,에이티넘인베스트,16874479.0,9144385.0,2019-11-25,2020-05-21
023800,인지컨트롤스,16843357.0,8736730.0,2019-11-25,2020-05-21
005250,녹십자홀딩스,16836471.0,10679157.0,2019-11-25,2020-05-21
011320,유니크,16770941.0,11868687.0,2019-11-25,2020-05-21
008560,메리츠증권,16768238.0,8372642.0,2019-11-25,2020-05-21
036170,라이브파이낸셜,16767409.0,5908257.0,2019-11-25,2020-05-21
036460,한국가스공사,16748194.0,7209302.0,2019-11-25,2020-05-21
036090,위지트,16746352.0,7388393.0,2019-11-25,2020-05-21
001060,JW중외제약,16731780.0,11583333.0,2019-11-25,2020-05-21
011370,서한,16723160.0,8130081.0,2019-11-25,2020-05-21
002820,선창산업,16709255.0,8790698.0,2019-11-25,2020-05-21
003560,아이에이치큐,16645478.0,9055556.0,2019-11-25,2020-05-21
027830,대성창투,16639603.0,9393204.0,2019-11-25,2020-05-21
024950,삼천리자전거,16623834.0,13740602.0,2019-11-25,2020-05-21
002760,보락,16610514.0,9776675.0,2019-11-25,2020-05-21
001840,이화공영,16579958.0,10310680.0,2019-11-25,2020-05-21
031820,콤텍시스템,16526204.0,9070513.0,2019-11-25,2020-05-21
005290,동진쎄미켐,16486985.0,12592593.0,2019-11-25,2020-05-21
003850,보령제약,16453725.0,9102564.0,2019-11-25,2020-05-21
011780,금호석유화학,16450141.0,9527559.0,2019-11-25,2020-05-21
007810,코리아써키트,16438927.0,9860697.0,2019-11-25,2020-05-21
019540,일지테크,16424087.0,8110236.0,2019-11-25,2020-05-21
011200,HMM,16396691.0,10759494.0,2019-11-25,2020-05-21
